Date&Time, N(880), BC1(370), BC2(470), BC3(525), BC4(590), BC5(660), BC6(880), BC7(950), k1(370), k2(470), k3(525), k4(590), k5(660), k6(880), k7(950), FLowRatio
02/29/2016 00:00,,,,,,,,,,,,,,,,
02/29/2016 01:00,,,,,,,,,,,,,,,,
02/29/2016 02:00,,,,,,,,,,,,,,,,
02/29/2016 03:00,,,,,,,,,,,,,,,,
02/29/2016 04:00,,,,,,,,,,,,,,,,
02/29/2016 05:00,,,,,,,,,,,,,,,,
02/29/2016 06:00,,,,,,,,,,,,,,,,
02/29/2016 07:00,,,,,,,,,,,,,,,,
02/29/2016 08:00,,,,,,,,,,,,,,,,
02/29/2016 09:00,,,,,,,,,,,,,,,,
02/29/2016 10:00,,,,,,,,,,,,,,,,
02/29/2016 11:00,,,,,,,,,,,,,,,,
02/29/2016 12:00,,,,,,,,,,,,,,,,
02/29/2016 13:00,,,,,,,,,,,,,,,,
02/29/2016 14:00,,,,,,,,,,,,,,,,
02/29/2016 15:00,,,,,,,,,,,,,,,,
02/29/2016 16:00,,,,,,,,,,,,,,,,
02/29/2016 17:00,,,,,,,,,,,,,,,,
02/29/2016 18:00,,,,,,,,,,,,,,,,
02/29/2016 19:00,,,,,,,,,,,,,,,,
02/29/2016 20:00,,,,,,,,,,,,,,,,
02/29/2016 21:00,,,,,,,,,,,,,,,,
02/29/2016 22:00,,,,,,,,,,,,,,,,
02/29/2016 23:00,1,,,,,,,,,,,,,,,
03/01/2016 00:00,60,0.226,0.193,0.182,0.178,0.172,0.163,0.168,0.00469,0.00505,0.00537,0.00605,0.00642,0.00733,0.00762,0.541
03/01/2016 01:00,60,0.237,0.195,0.181,0.175,0.168,0.158,0.162,0.00467,0.00501,0.00532,0.00599,0.00634,0.00723,0.00751,0.541
03/01/2016 02:00,60,0.272,0.225,0.209,0.200,0.193,0.176,0.181,0.00465,0.00495,0.00524,0.00590,0.00624,0.00706,0.00735,0.541
03/01/2016 03:00,60,0.446,0.421,0.408,0.410,0.405,0.397,0.410,0.00463,0.00490,0.00518,0.00581,0.00613,0.00690,0.00718,0.541
03/01/2016 04:00,60,0.374,0.349,0.336,0.333,0.327,0.316,0.327,0.00461,0.00486,0.00513,0.00574,0.00604,0.00672,0.00698,0.542
03/01/2016 05:00,60,0.482,0.455,0.438,0.439,0.432,0.423,0.437,0.00458,0.00480,0.00505,0.00565,0.00593,0.00654,0.00679,0.546
03/01/2016 06:00,60,1.088,1.062,1.036,1.050,1.039,1.035,1.071,0.00455,0.00475,0.00499,0.00556,0.00582,0.00637,0.00662,0.547
03/01/2016 07:00,60,1.047,1.009,0.977,0.986,0.972,0.961,0.996,0.00451,0.00470,0.00492,0.00548,0.00572,0.00623,0.00646,0.548
03/01/2016 08:00,60,1.350,1.316,1.281,1.297,1.282,1.270,1.316,0.00447,0.00465,0.00485,0.00539,0.00561,0.00605,0.00627,0.553
03/01/2016 09:00,60,0.968,0.930,0.900,0.910,0.896,0.880,0.912,0.00444,0.00462,0.00482,0.00533,0.00553,0.00590,0.00611,0.554
